Best picture list,year,Director,Metascore,Box Office,IMDB Vote,Genre,Actors
Green Book,2019,Peter Farrelly,69,N/A,"138,886",Biography,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco"
The Shape of Water,2018,Guillermo del Toro,87,"$57,393,976 ","292,314",Adventure,"Sally Hawkins, Michael Shannon, Richard Jenkins, Octavia Spencer"
Moonlight,2017,Barry Jenkins,99,"$27,850,910 ","222,201",Drama,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert"
Spotlight,2016,Tom McCarthy,93,N/A,"358,606",Crime,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber"
12 Years a Slave,2014,Steve McQueen,96,"$50,628,650 ","567,936",Biography,"Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt"
Argo,2013,Ben Affleck,86,"$136,019,448 ","529,124",Biography,"Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman"
The Artist,2012,Michel Hazanavicius,89,"$44,667,095 ","215,166",Comedy,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell"
The King's Speech,2011,Tom Hooper,88,"$138,300,000 ","586,456",Biography,"Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal"
The Hurt Locker,2010,Kathryn Bigelow,94,"$15,700,000 ","388,856",Drama,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce"
Slumdog Millionaire,2009,"Danny Boyle, Loveleen Tandan(co-director)",86,"$141,243,551 ","738,900",Drama,"Dev Patel, Saurabh Shukla, Anil Kapoor, Raj Zutshi"
No Country for Old Men,2008,"Ethan Coen, Joel Coen",91,"$74,223,625 ","755,743",Crime,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson"
The Departed,2007,Martin Scorsese,85,"$132,300,000 ","1,057,386",Crime,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg"
Crash,2006,Paul Haggis,69,"$55,382,847 ","398,598",Crime,"Karina Arroyave, Dato Bakhtadze, Sandra Bullock, Don Cheadle"
Million Dollar Baby,2005,Clint Eastwood,86,"$100,422,786 ","580,694",Drama,"Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel"
The Lord of the Rings: The Return of the King,2004,Peter Jackson,94,"$364,000,000 ","1,470,327",Adventure,"Noel Appleby, Ali Astin, Sean Astin, David Aston"
Chicago,2003,Rob Marshall,82,N/A,"199,307",Comedy,"Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Renée Zellweger"
A Beautiful Mind,2002,Ron Howard,72,N/A,"759,593",Biography,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer"
Gladiator,2001,Ridley Scott,67,N/A,"1,190,426",Action,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
American Beauty,2000,Sam Mendes,86,N/A,"978,491",Drama,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley"
Shakespeare in Love,1999,John Madden,87,N/A,"199,488",Comedy,"Geoffrey Rush, Tom Wilkinson, Steven O'Donnell, Tim McMullan"
Titanic,1998,James Cameron,75,N/A,"941,210",Drama,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates"
The English Patient,1997,Anthony Minghella,87,N/A,"164,416",Drama,"Ralph Fiennes, Juliette Binoche, Willem Dafoe, Kristin Scott Thomas"
Braveheart,1996,Mel Gibson,68,N/A,"881,605",Biography,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo"
Forrest Gump,1995,Robert Zemeckis,82,"$330,000,000 ","1,577,904",Drama,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys"
Schindler’s List,1994,Steven Spielberg,93,N/A,"1,070,798",Biography,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall"
Unforgiven,1993,Clint Eastwood,85,N/A,"336,649",Drama,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris"
The Silence of the Lambs,1992,Jonathan Demme,85,N/A,"1,110,976",Crime,"Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz"
Dances With Wolves,1991,Kevin Costner,72,N/A,"218,320",Adventure,"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant"
Driving Miss Daisy,1990,Bruce Beresford,81,N/A,"87,955",Drama,"Morgan Freeman, Jessica Tandy, Dan Aykroyd, Patti LuPone"
Rain Man,1989,Barry Levinson,65,N/A,"435,800",Drama,"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen"
The Last Emperor,1988,Bernardo Bertolucci,76,N/A,"84,173",Biography,"John Lone, Joan Chen, Peter O'Toole, Ruocheng Ying"
Platoon,1987,Oliver Stone,92,N/A,"347,068",Drama,"Tom Berenger, Keith David, Willem Dafoe, Forest Whitaker"
