,Best picture,Year,Metascore,Box Office,IMDB Vote,Director,Genre,Maker,Actors,Female,Male
1,The Shape of Water,2017,87,"57,393,976","292,314",Guillermo del Toro,Adventure,Fox Searchlight Pictures,"Sally Hawkins,Michael Shannon,Richard Jenkins,Octavia Spencer",1,3
2,Moonlight,2016,99,"27,850,910","222,201",Barry Jenkins,Drama,A24 Films,"Mahershala Ali,Shariff Earp,Duan Sanderson,Alex R. Hibbert",0,4
4,12 Years a Slave,2013,96,"50,628,650","567,936",Steve McQueen,Biography,Fox Searchlight,"Chiwetel Ejiofor,Dwight Henry,Dickie Gravois,Bryan Batt",0,4
5,Argo,2012,86,"136,019,448","529,124",Ben Affleck,Biography,Warner Bros. Pictures,"Ben Affleck,Bryan Cranston,Alan Arkin,John Goodman",0,4
6,The Artist,2011,89,"44,667,095","215,166",Michel Hazanavicius,Comedy,The Weinstein Company,"Jean Dujardin,Bérénice Bejo,John Goodman,James Cromwell",0,4
8,The Hurt Locker,2008,94,"15,700,000","386,920",Kathryn Bigelow,Drama,Summit Entertainment,"Jeremy Renner,Anthony Mackie,Brian Geraghty,Guy Pearce",0,4
9,Slumdog Millionaire,2008,86,"141,243,551","738,900","Danny Boyle, Loveleen Tandan(co-director)",Drama,Fox Searchlight Pictures,"Dev Patel,Saurabh Shukla,Anil Kapoor,Raj Zutshi",0,4
10,No Country for Old Men,2007,91,"74,223,625","755,743","Ethan Coen, Joel Coen",Crime,Miramax Films,"Tommy Lee Jones,Javier Bardem,Josh Brolin,Woody Harrelson",0,4
11,The Departed,2006,85,"132,300,000","1,057,386",Martin Scorsese,Crime,Warner Bros. Pictures,"Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg",0,4
12,Crash,2004,69,"55,382,847","398,598",Paul Haggis,Crime,Lions Gate Films,"Karina Arroyave,Dato Bakhtadze,Sandra Bullock,Don Cheadle",2,2
13,Million Dollar Baby,2004,86,"100,422,786","580,694",Clint Eastwood,Drama,Warner Bros. Pictures,"Clint Eastwood,Hilary Swank,Morgan Freeman,Jay Baruchel",1,3
14,The Lord of the Rings: The Return of the King,2003,94,"364,000,000","1,470,327",Peter Jackson,Adventure,New Line Cinema,"Noel Appleby,Ali Astin,Sean Astin,David Aston",0,4
23,Forrest Gump,1994,82,"330,000,000","1,577,904",Robert Zemeckis,Drama,Paramount Pictures,"Tom Hanks,Rebecca Williams,Sally Field,Michael Conner Humphreys",2,2
32,Infinity War,2018,68,"664,987,816","592,755","Anthony Russo, Joe Russo",Action,Walt Disney Pictures,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans",0,4
34,Minions,2015,56,"277,969,969","190,872","Kyle Balda, Pierre Coffin",Animation,Universal Pictures,"Sandra Bullock,Jon Hamm,Michael Keaton,Allison Janney",2,2
35,Transformers,2007,61,"319,014,499","565,832",Michael Bay,Action,Dreamworks,"Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson",2,2
